AT_STREET;ON_STREET;XSTREET;Geom;Geo Local Area
255;641;SEMLIN DRIVE AND E 6TH AV;"{""coordinates"": [-123.06390824405753, 49.26503329102706], ""type"": ""Point""}";Grandview-Woodland
270;638;E 5TH AV AND NANAIMO ST;"{""coordinates"": [-123.05659440978711, 49.26572903385497], ""type"": ""Point""}";Grandview-Woodland
271;638;KAMLOOPS ST AND E 5TH AV;"{""coordinates"": [-123.05469526101204, 49.26572832934466], ""type"": ""Point""}";Hastings-Sunrise
274;638;E 5TH AV AND PENTICTON ST;"{""coordinates"": [-123.05214709013256, 49.265726745970746], ""type"": ""Point""}";Hastings-Sunrise
225;730;E 33RD AV AND INVERNESS ST;"{""coordinates"": [-123.08025832293806, 49.240238447042834], ""type"": ""Point""}";Kensington-Cedar Cottage
223;730;ROSS ST AND E 33RD AV;"{""coordinates"": [-123.0815449919498, 49.24024471521236], ""type"": ""Point""}";Kensington-Cedar Cottage
221;730;ROSS ST AND E 33RD AV;"{""coordinates"": [-123.08236794300024, 49.24025026615102], ""type"": ""Point""}";Kensington-Cedar Cottage
090;739;W 37TH AV AND ARBUTUS ST;"{""coordinates"": [-123.15542659676183, 49.238296220502484], ""type"": ""Point""}";Arbutus-Ridge
211;730;E 33RD AV AND CHESTER ST;"{""coordinates"": [-123.08913056984596, 49.240296681395144], ""type"": ""Point""}";Kensington-Cedar Cottage
212;723;PRINCE ALBERT ST AND E 30TH AV;"{""coordinates"": [-123.08788159235108, 49.24350917253051], ""type"": ""Point""}";Kensington-Cedar Cottage
090;750;W 41ST AV AND WEST BOULEVARD;"{""coordinates"": [-123.15556187816901, 49.23457607032316], ""type"": ""Point""}";Arbutus-Ridge
082;750;W 41ST AV AND YEW ST;"{""coordinates"": [-123.15775230879414, 49.234609728615844], ""type"": ""Point""}";Arbutus-Ridge
215;741;SOMERVILLE ST AND E 37TH AV;"{""coordinates"": [-123.0858150239175, 49.2364939154868], ""type"": ""Point""}";Kensington-Cedar Cottage
227;741;CULLODEN ST AND E 37TH AV;"{""coordinates"": [-123.07911711004871, 49.23641135289396], ""type"": ""Point""}";Kensington-Cedar Cottage
217;727;WINDSOR ST AND E 31ST AV;"{""coordinates"": [-123.08402779578427, 49.242515943204324], ""type"": ""Point""}";Kensington-Cedar Cottage
223;727;E 31ST AV AND ROSS ST;"{""coordinates"": [-123.08135595534999, 49.24249455797402], ""type"": ""Point""}";Kensington-Cedar Cottage
186;601;QUEBEC ST AND PRIOR ST;"{""coordinates"": [-123.10213312410792, 49.27680761910694], ""type"": ""Point""}";Downtown
165;604;PACIFIC BOULEVARD AND SMITHE ST;"{""coordinates"": [-123.11300451913868, 49.27485343167906], ""type"": ""Point""}";Downtown
132;817;W 62ND AV AND FRENCH ST;"{""coordinates"": [-123.13899756776156, 49.21501974229697], ""type"": ""Point""}";Marpole
130;817;GRANVILLE ST AND W 62ND AV;"{""coordinates"": [-123.14030562023385, 49.21493580904925], ""type"": ""Point""}";Marpole
176;818;W 62ND AV AND COLUMBIA ST;"{""coordinates"": [-123.11269624941205, 49.21428575902975], ""type"": ""Point""}";Marpole
176;818;W 62ND AV AND COLUMBIA ST;"{""coordinates"": [-123.11270479410774, 49.214058035088165], ""type"": ""Point""}";Marpole
156;818;HEATHER ST AND W 62ND AV;"{""coordinates"": [-123.12399542249322, 49.21425040795779], ""type"": ""Point""}";Marpole
156;814;W 60TH AV AND HEATHER ST;"{""coordinates"": [-123.12393135188609, 49.21606756877885], ""type"": ""Point""}";Marpole
156;818;HEATHER ST AND W 62ND AV;"{""coordinates"": [-123.1239821624338, 49.21463084173525], ""type"": ""Point""}";Marpole
152;819;FREMLIN ST AND W 63RD AV;"{""coordinates"": [-123.127301163771, 49.213776574586774], ""type"": ""Point""}";Marpole
151;819;PARK DRIVE AND SHAUGHNESSY ST;"{""coordinates"": [-123.12867799276944, 49.21406761164924], ""type"": ""Point""}";Marpole
275;704;E 26TH AV AND SLOCAN ST;"{""coordinates"": [-123.04963580541988, 49.24710772011384], ""type"": ""Point""}";Renfrew-Collingwood
146;710;SELKIRK ST AND W KING EDWARD AV;"{""coordinates"": [-123.13199819505802, 49.249302281424036], ""type"": ""Point""}";Shaughnessy
277;704;KASLO ST AND E 26TH AV;"{""coordinates"": [-123.04708259610867, 49.24709946079115], ""type"": ""Point""}";Renfrew-Collingwood
279;703;E 25TH AV AND RENFREW ST;"{""coordinates"": [-123.04433525660778, 49.24790661925094], ""type"": ""Point""}";Renfrew-Collingwood
279;704;RENFREW ST AND E 26TH AV;"{""coordinates"": [-123.04434695613706, 49.24708551223805], ""type"": ""Point""}";Renfrew-Collingwood
