Geom;MAPID;NAME;URL;Geo Local Area
"{""coordinates"": [-123.114967985868, 49.2603889490707], ""type"": ""Point""}";TCM007;Cambie St and W 12th Av;https://trafficcams.vancouver.ca/cambie12.htm;Fairview
"{""coordinates"": [-123.130252725283, 49.2084701202487], ""type"": ""Point""}";TCM010;Oak St and W 70th Av;https://trafficcams.vancouver.ca/oak4.htm;Marpole
"{""coordinates"": [-123.136787449782, 49.2942590380806], ""type"": ""Point""}";TCM014;Chilco St and W Georgia St;http://images.drivebc.ca/bchighwaycam/pub/html/www/19.html;West End
"{""coordinates"": [-123.136736007805, 49.2972589838826], ""type"": ""Point""}";TCM015;Stanley Park Causeway;http://images.drivebc.ca/bchighwaycam/pub/html/www/17.html;
"{""coordinates"": [-123.129968, 49.324891], ""type"": ""Point""}";TCM017;North End 2;http://images.drivebc.ca/bchighwaycam/pub/html/www/20.html;
"{""coordinates"": [-123.116492357278, 49.2261139995231], ""type"": ""Point""}";TCM024;Cambie St and W 49th Av;https://trafficcams.vancouver.ca/cambie49.htm;Oakridge
"{""coordinates"": [-123.116192190431, 49.2335434721856], ""type"": ""Point""}";TCM025;Cambie St and W 41st Av;https://trafficcams.vancouver.ca/cambie41.htm;South Cambie
"{""coordinates"": [-123.115406053889, 49.248990875309], ""type"": ""Point""}";TCM026;Cambie St and W King Edward Av;https://trafficcams.vancouver.ca/cambie25.htm;South Cambie
"{""coordinates"": [-123.100028035364, 49.2727762979223], ""type"": ""Point""}";TCM028;Main St and Terminal Av;https://trafficcams.vancouver.ca/mainTerminal.htm;Downtown
"{""coordinates"": [-123.116411709855, 49.2836239860524], ""type"": ""Point""}";TCM030;Granville St and Dunsmuir St;https://trafficcams.vancouver.ca/GranvilleDunsmuir.htm;Downtown
"{""coordinates"": [-123.117110735151, 49.2101449448247], ""type"": ""Point""}";TCM032;Cambie St and SW Marine Drive;https://trafficcams.vancouver.ca/CambieMarine.htm;Marpole
"{""coordinates"": [-123.10089513196, 49.2644481387721], ""type"": ""Point""}";TCM042;Main St and Kingsway;https://trafficcams.vancouver.ca/mainKingsway7.htm;Mount Pleasant
"{""coordinates"": [-123.02361, 49.25822], ""type"": ""Point""}";TCM046;Boundary Road and Grandview Hwy;https://trafficcams.vancouver.ca/BoundaryGrandviewHwy.htm;Renfrew-Collingwood
"{""coordinates"": [-123.04881, 49.23758], ""type"": ""Point""}";TCM047;Earles St and Kingsway;https://trafficcams.vancouver.ca/EarlesKingsway.htm;Renfrew-Collingwood
"{""coordinates"": [-123.121791, 49.2826429], ""type"": ""Point""}";TCM048;Hornby St and Robson St;https://trafficcams.vancouver.ca/HornbyRobson.htm;Downtown
"{""coordinates"": [-123.056641, 49.248805], ""type"": ""Point""}";TCM056;Nanaimo St and E 24th Av;https://trafficcams.vancouver.ca/nanaimo24.htm;Kensington-Cedar Cottage
"{""coordinates"": [-123.133382, 49.281777], ""type"": ""Point""}";TCM060;Bute St and Davie St;https://trafficcams.vancouver.ca/buteDavie.htm;West End
"{""coordinates"": [-123.076038, 49.250101], ""type"": ""Point""}";TCM061;Knight St and Kingsway;https://trafficcams.vancouver.ca/knightKingsway.htm;Kensington-Cedar Cottage
"{""coordinates"": [-123.134406, 49.278304], ""type"": ""Point""}";TCM064;Thurlow St and Pacific St;https://trafficcams.vancouver.ca/thurlowPacific.htm;West End
"{""coordinates"": [-123.038991, 49.207814], ""type"": ""Point""}";TCM068;SE Marine Drive and Marine Way;https://trafficcams.vancouver.ca/marineMarineWay.htm;Killarney
"{""coordinates"": [-123.027149, 49.2064], ""type"": ""Point""}";TCM072;Sawmill East Crescent and Marine Way;https://trafficcams.vancouver.ca/SawmillEastMarine.htm;Killarney
"{""coordinates"": [-123.033566, 49.207032], ""type"": ""Point""}";TCM073;Sawmill West Crescent and Marine Way;https://trafficcams.vancouver.ca/SawmillWestMarine.htm;Killarney
"{""coordinates"": [-123.11558, 49.276527], ""type"": ""Point""}";TCM076;Beatty St and Smithe St;https://trafficcams.vancouver.ca/beattySmithe.htm;Downtown
"{""coordinates"": [-123.044345, 49.250539], ""type"": ""Point""}";TCM081;Renfrew St and E 22nd Av;https://trafficcams.vancouver.ca/renfrew22.htm;Renfrew-Collingwood
"{""coordinates"": [-123.127873, 49.241388], ""type"": ""Point""}";TCM082;Oak St and W 33rd Av;https://trafficcams.vancouver.ca/oak33.htm;Shaughnessy
"{""coordinates"": [-123.023649, 49.23228], ""type"": ""Point""}";TCM084;Boundary Road and Kingsway;https://trafficcams.vancouver.ca/boundaryKingsway.htm;Renfrew-Collingwood
"{""coordinates"": [-123.1546702, 49.2610022], ""type"": ""Point""}";TCM090;Arbutus Greenway and W 12th Av;https://trafficcams.vancouver.ca/greenway12.htm;Kitsilano
"{""coordinates"": [-123.023703, 49.234379], ""type"": ""Point""}";TCM093;Boundary Rd and Vanness Av;https://trafficcams.vancouver.ca/boundaryVanness.htm;Renfrew-Collingwood
"{""coordinates"": [-123.126628, 49.26244], ""type"": ""Point""}";TCM094;Oak St and W 10th Av;https://trafficcams.vancouver.ca/oakW10.htm;Fairview
"{""coordinates"": [-123.090919, 49.266785], ""type"": ""Point""}";TCM099;Carolina St and Great Northern Way;https://trafficcams.vancouver.ca/carolinaGreatNorthern.htm;Strathcona
"{""coordinates"": [-123.097767, 49.261081], ""type"": ""Point""}";TCM102;Kingsway and E 11th Av;https://trafficcams.vancouver.ca/kingsway11.htm;Mount Pleasant
